names,res,fps,framenos
/media/labuser-admin/seagate/hdr_videos/cut_vids/1694KHDR1.mp4,3840x2160,30000/1001,440
/media/labuser-admin/seagate/hdr_videos/cut_vids/1694KHDR2.mp4,3840x2160,30000/1001,397
/media/labuser-admin/seagate/hdr_videos/cut_vids/acropolis_104.mp4,3840x2160,30000/1001,217
/media/labuser-admin/seagate/hdr_videos/cut_vids/acropolis_138.mp4,3840x2160,30000/1001,276
/media/labuser-admin/seagate/hdr_videos/cut_vids/acropolis_139.mp4,3840x2160,30000/1001,197
/media/labuser-admin/seagate/hdr_videos/cut_vids/acropolis_155.mp4,3840x2160,30000/1001,175
/media/labuser-admin/seagate/hdr_videos/cut_vids/acropolis_319.mp4,3840x2160,30000/1001,219
/media/labuser-admin/seagate/hdr_videos/cut_vids/acropolis_38.mp4,3840x2160,30000/1001,219
/media/labuser-admin/seagate/hdr_videos/cut_vids/arri_13.mp4,3840x1608,24/1,216
/media/labuser-admin/seagate/hdr_videos/cut_vids/arri_23.mp4,3840x1608,24/1,200
/media/labuser-admin/seagate/hdr_videos/cut_vids/arri_33.mp4,3840x1608,24/1,286
/media/labuser-admin/seagate/hdr_videos/cut_vids/arri_3.mp4,3840x1608,24/1,232
/media/labuser-admin/seagate/hdr_videos/cut_vids/arri_43.mp4,3840x1608,24/1,168
/media/labuser-admin/seagate/hdr_videos/cut_vids/arri_53.mp4,3840x1608,24/1,280
/media/labuser-admin/seagate/hdr_videos/cut_vids/calipromax_0.mp4,3840x2160,60/1,660
/media/labuser-admin/seagate/hdr_videos/cut_vids/calipromax_101.mp4,3840x2160,60/1,640
/media/labuser-admin/seagate/hdr_videos/cut_vids/calipromax_10.mp4,3840x2160,60/1,652
/media/labuser-admin/seagate/hdr_videos/cut_vids/calipromax_111.mp4,3840x2160,60/1,632
/media/labuser-admin/seagate/hdr_videos/cut_vids/calipromax_121.mp4,3840x2160,60/1,624
/media/labuser-admin/seagate/hdr_videos/cut_vids/calipromax_131.mp4,3840x2160,60/1,616
/media/labuser-admin/seagate/hdr_videos/cut_vids/calipromax_141.mp4,3840x2160,60/1,608
/media/labuser-admin/seagate/hdr_videos/cut_vids/calipromax_24.mp4,3840x2160,60/1,580
/media/labuser-admin/seagate/hdr_videos/cut_vids/calipromax_41.mp4,3840x2160,60/1,384
/media/labuser-admin/seagate/hdr_videos/cut_vids/calipromax_51.mp4,3840x2160,60/1,376
/media/labuser-admin/seagate/hdr_videos/cut_vids/calipromax_61.mp4,3840x2160,60/1,368
/media/labuser-admin/seagate/hdr_videos/cut_vids/calipromax_71.mp4,3840x2160,60/1,360
/media/labuser-admin/seagate/hdr_videos/cut_vids/calipromax_81.mp4,3840x2160,60/1,656
/media/labuser-admin/seagate/hdr_videos/cut_vids/calipromax_91.mp4,3840x2160,60/1,648
/media/labuser-admin/seagate/hdr_videos/cut_vids/calisurface_0.mp4,3840x2160,30000/1001,300
/media/labuser-admin/seagate/hdr_videos/cut_vids/calisurface_10.mp4,3840x2160,30000/1001,280
/media/labuser-admin/seagate/hdr_videos/cut_vids/calisurface_20.mp4,3840x2160,30000/1001,260
/media/labuser-admin/seagate/hdr_videos/cut_vids/calisurface_30.mp4,3840x2160,30000/1001,239
/media/labuser-admin/seagate/hdr_videos/cut_vids/calisurface_43.mp4,3840x2160,30000/1001,149
/media/labuser-admin/seagate/hdr_videos/cut_vids/christmastram_0.mp4,3840x2160,30000/1001,300
/media/labuser-admin/seagate/hdr_videos/cut_vids/christmastram_10.mp4,3840x2160,30000/1001,280
/media/labuser-admin/seagate/hdr_videos/cut_vids/christmastram_20.mp4,3840x2160,30000/1001,260
/media/labuser-admin/seagate/hdr_videos/cut_vids/christmastram_43.mp4,3840x2160,30000/1001,149
/media/labuser-admin/seagate/hdr_videos/cut_vids/christmastram_55.mp4,3840x2160,30000/1001,189
